date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:49	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:48%20GMT	https://danielcampbell.webflow.io/robots.txt		(from )
14:11:49	9866/9866	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202025%2014:10:53%20GMT	https://danielcampbell.webflow.io/	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/index.html	(from )
14:11:49	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:49%20GMT	https://danielcampbell.webflow.io/about	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/about	(from https://danielcampbell.webflow.io/)
14:11:50	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:50%20GMT	https://danielcampbell.webflow.io/work/juniper-assessments	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/juniper-assessments	(from https://danielcampbell.webflow.io/)
14:11:51	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:51%20GMT	https://danielcampbell.webflow.io/work/good-places	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/good-places	(from https://danielcampbell.webflow.io/)
14:11:52	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:52%20GMT	https://danielcampbell.webflow.io/work/claddagh-tours	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/claddagh-tours	(from https://danielcampbell.webflow.io/)
14:11:53	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:53%20GMT	https://danielcampbell.webflow.io/work/data-goose	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/data-goose	(from https://danielcampbell.webflow.io/)
14:11:54	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:54%20GMT	https://danielcampbell.webflow.io/work/juniper-assessments	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/juniper-assessments.html	(from https://danielcampbell.webflow.io/)
14:11:54	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:54%20GMT	https://danielcampbell.webflow.io/about	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/about.html	(from https://danielcampbell.webflow.io/)
14:11:55	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:54%20GMT	https://danielcampbell.webflow.io/work/good-places	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/good-places.html	(from https://danielcampbell.webflow.io/)
14:11:55	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:54%20GMT	https://danielcampbell.webflow.io/work/claddagh-tours	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/claddagh-tours.html	(from https://danielcampbell.webflow.io/)
14:11:55	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:55%20GMT	https://danielcampbell.webflow.io/work/data-goose	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/data-goose.html	(from https://danielcampbell.webflow.io/)
14:11:55	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:55%20GMT	https://danielcampbell.webflow.io/about	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/about.html	(from https://danielcampbell.webflow.io/)
14:11:56	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:56%20GMT	https://danielcampbell.webflow.io/work/good-places	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/good-places.html	(from https://danielcampbell.webflow.io/)
14:11:56	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:56%20GMT	https://danielcampbell.webflow.io/work/juniper-assessments	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/juniper-assessments.html	(from https://danielcampbell.webflow.io/)
14:11:56	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:56%20GMT	https://danielcampbell.webflow.io/work/claddagh-tours	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/claddagh-tours.html	(from https://danielcampbell.webflow.io/)
14:11:56	6390/6390	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2024%20Feb%202025%2014:11:56%20GMT	https://danielcampbell.webflow.io/work/data-goose	/Users/danielcampbell/Downloads/webflow-site/danielcampbell.webflow.io/work/data-goose.html	(from https://danielcampbell.webflow.io/)
